t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558039,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558042,1,0.165993,0.000000,0.000000,0.000000,events/second
1556558045,1,0.110980,0.000000,0.000000,0.000000,events/second
1556558048,1,0.083249,0.000000,0.000000,0.000000,events/second
1556558051,1,0.066600,0.000000,0.000000,0.000000,events/second
1556558054,1,0.055515,0.000000,0.000000,0.000000,events/second
1556558057,1,0.047594,0.000000,0.000000,0.000000,events/second
1556558060,1,0.041637,0.000000,0.000000,0.000000,events/second
1556558063,1,0.037026,0.000000,0.000000,0.000000,events/second
1556558066,1,0.033321,0.000000,0.000000,0.000000,events/second
1556558069,1,0.030293,0.000000,0.000000,0.000000,events/second
1556558072,1,0.027770,0.000000,0.000000,0.000000,events/second
1556558075,1,0.025633,0.000000,0.000000,0.000000,events/second
1556558078,1,0.023795,0.000000,0.000000,0.000000,events/second
1556558081,1,0.022218,0.000000,0.000000,0.000000,events/second
1556558084,1,0.020829,0.000000,0.000000,0.000000,events/second
1556558087,1,0.019605,0.000000,0.000000,0.000000,events/second
1556558090,1,0.018515,0.000000,0.000000,0.000000,events/second
1556558093,1,0.017540,0.000000,0.000000,0.000000,events/second
1556558096,1,0.016664,0.000000,0.000000,0.000000,events/second
1556558099,1,0.015870,0.000000,0.000000,0.000000,events/second
1556558102,1,0.015150,0.000000,0.000000,0.000000,events/second
1556558105,1,0.014490,0.000000,0.000000,0.000000,events/second
1556558108,1,0.013887,0.000000,0.000000,0.000000,events/second
1556558111,1,0.013332,0.000000,0.000000,0.000000,events/second
1556558114,1,0.012819,0.000000,0.000000,0.000000,events/second
1556558117,1,0.012344,0.000000,0.000000,0.000000,events/second
1556558120,1,0.011903,0.000000,0.000000,0.000000,events/second
1556558123,1,0.011493,0.000000,0.000000,0.000000,events/second
1556558126,1,0.011110,0.000000,0.000000,0.000000,events/second
1556558129,1,0.010752,0.000000,0.000000,0.000000,events/second
1556558132,1,0.010415,0.000000,0.000000,0.000000,events/second
1556558135,1,0.010100,0.000000,0.000000,0.000000,events/second
1556558138,1,0.009802,0.000000,0.000000,0.000000,events/second
1556558141,1,0.009523,0.000000,0.000000,0.000000,events/second
1556558144,1,0.009258,0.000000,0.000000,0.000000,events/second
1556558147,1,0.009008,0.000000,0.000000,0.000000,events/second
1556558150,1,0.008771,0.000000,0.000000,0.000000,events/second
1556558153,1,0.008546,0.000000,0.000000,0.000000,events/second
1556558156,1,0.008332,0.000000,0.000000,0.000000,events/second
1556558159,1,0.008129,0.000000,0.000000,0.000000,events/second
1556558162,1,0.007936,0.000000,0.000000,0.000000,events/second
1556558165,1,0.007751,0.000000,0.000000,0.000000,events/second
1556558168,1,0.007575,0.000000,0.000000,0.000000,events/second
1556558171,1,0.007407,0.000000,0.000000,0.000000,events/second
1556558174,1,0.007246,0.000000,0.000000,0.000000,events/second
1556558177,1,0.007092,0.000000,0.000000,0.000000,events/second
1556558180,1,0.006944,0.000000,0.000000,0.000000,events/second
1556558183,1,0.006802,0.000000,0.000000,0.000000,events/second
1556558186,1,0.006666,0.000000,0.000000,0.000000,events/second
1556558189,1,0.006536,0.000000,0.000000,0.000000,events/second
1556558192,1,0.006410,0.000000,0.000000,0.000000,events/second
1556558195,1,0.006289,0.000000,0.000000,0.000000,events/second
1556558198,1,0.006173,0.000000,0.000000,0.000000,events/second
1556558201,1,0.006060,0.000000,0.000000,0.000000,events/second
1556558204,1,0.005952,0.000000,0.000000,0.000000,events/second
1556558207,1,0.005848,0.000000,0.000000,0.000000,events/second
1556558210,1,0.005747,0.000000,0.000000,0.000000,events/second
1556558213,1,0.005650,0.000000,0.000000,0.000000,events/second
1556558216,1,0.005555,0.000000,0.000000,0.000000,events/second
1556558219,1,0.005464,0.000000,0.000000,0.000000,events/second
1556558222,1,0.005376,0.000000,0.000000,0.000000,events/second
1556558225,1,0.005291,0.000000,0.000000,0.000000,events/second
1556558228,1,0.005208,0.000000,0.000000,0.000000,events/second
1556558231,1,0.005128,0.000000,0.000000,0.000000,events/second
1556558234,1,0.005050,0.000000,0.000000,0.000000,events/second
1556558237,1,0.004975,0.000000,0.000000,0.000000,events/second
1556558240,1,0.004902,0.000000,0.000000,0.000000,events/second
1556558243,1,0.004831,0.000000,0.000000,0.000000,events/second
1556558246,1,0.004762,0.000000,0.000000,0.000000,events/second
1556558249,1,0.004695,0.000000,0.000000,0.000000,events/second
1556558252,1,0.004629,0.000000,0.000000,0.000000,events/second
1556558255,1,0.004566,0.000000,0.000000,0.000000,events/second
1556558258,1,0.004504,0.000000,0.000000,0.000000,events/second
1556558261,1,0.004444,0.000000,0.000000,0.000000,events/second
1556558264,1,0.004386,0.000000,0.000000,0.000000,events/second
1556558267,1,0.004329,0.000000,0.000000,0.000000,events/second
1556558270,1,0.004273,0.000000,0.000000,0.000000,events/second
1556558273,1,0.004219,0.000000,0.000000,0.000000,events/second
1556558276,1,0.004166,0.000000,0.000000,0.000000,events/second
1556558279,1,0.004115,0.000000,0.000000,0.000000,events/second
1556558282,1,0.004065,0.000000,0.000000,0.000000,events/second
1556558285,1,0.004016,0.000000,0.000000,0.000000,events/second
1556558288,1,0.003968,0.000000,0.000000,0.000000,events/second
1556558291,1,0.003921,0.000000,0.000000,0.000000,events/second
1556558294,1,0.003876,0.000000,0.000000,0.000000,events/second
1556558297,1,0.003831,0.000000,0.000000,0.000000,events/second
1556558300,1,0.003788,0.000000,0.000000,0.000000,events/second
1556558303,1,0.003745,0.000000,0.000000,0.000000,events/second
1556558306,1,0.003704,0.000000,0.000000,0.000000,events/second
1556558309,1,0.003663,0.000000,0.000000,0.000000,events/second
1556558312,1,0.003623,0.000000,0.000000,0.000000,events/second
1556558315,1,0.003584,0.000000,0.000000,0.000000,events/second
1556558318,1,0.003546,0.000000,0.000000,0.000000,events/second
1556558321,1,0.003509,0.000000,0.000000,0.000000,events/second
1556558324,1,0.003472,0.000000,0.000000,0.000000,events/second
1556558327,1,0.003436,0.000000,0.000000,0.000000,events/second
1556558330,1,0.003401,0.000000,0.000000,0.000000,events/second
1556558333,1,0.003367,0.000000,0.000000,0.000000,events/second
1556558336,1,0.003333,0.000000,0.000000,0.000000,events/second
1556558339,1,0.003300,0.000000,0.000000,0.000000,events/second
1556558342,1,0.003268,0.000000,0.000000,0.000000,events/second
1556558345,1,0.003236,0.000000,0.000000,0.000000,events/second
1556558348,1,0.003205,0.000000,0.000000,0.000000,events/second
1556558351,1,0.003175,0.000000,0.000000,0.000000,events/second
1556558354,1,0.003145,0.000000,0.000000,0.000000,events/second
1556558357,1,0.003115,0.000000,0.000000,0.000000,events/second
1556558360,1,0.003086,0.000000,0.000000,0.000000,events/second
1556558363,1,0.003058,0.000000,0.000000,0.000000,events/second
1556558366,1,0.003030,0.000000,0.000000,0.000000,events/second
1556558369,1,0.003003,0.000000,0.000000,0.000000,events/second
1556558372,1,0.002976,0.000000,0.000000,0.000000,events/second
1556558375,11,0.032447,0.000000,0.000000,0.000000,events/second
1556558378,11,0.032162,0.000000,0.000000,0.000000,events/second
1556558381,11,0.031884,0.000000,0.000000,0.000000,events/second
1556558384,11,0.031608,0.000000,0.000000,0.000000,events/second
1556558387,11,0.031338,0.000000,0.000000,0.000000,events/second
1556558390,11,0.031073,0.000000,0.000000,0.000000,events/second
1556558393,15,0.042016,0.000000,0.000000,0.000000,events/second
1556558396,15,0.041666,0.000000,0.000000,0.000000,events/second
1556558399,15,0.041321,0.000000,0.000000,0.000000,events/second
1556558402,15,0.040982,0.000000,0.000000,0.000000,events/second
1556558405,15,0.040649,0.000000,0.000000,0.000000,events/second
1556558408,15,0.040321,0.000000,0.000000,0.000000,events/second
1556558411,15,0.039999,0.000000,0.000000,0.000000,events/second
1556558414,19,0.050264,0.000000,0.000000,0.000000,events/second
1556558417,19,0.049867,0.000000,0.000000,0.000000,events/second
1556558420,19,0.049478,0.000000,0.000000,0.000000,events/second
1556558423,19,0.049095,0.000000,0.000000,0.000000,events/second
1556558426,19,0.048717,0.000000,0.000000,0.000000,events/second
1556558429,19,0.048345,0.000000,0.000000,0.000000,events/second
1556558432,19,0.047979,0.000000,0.000000,0.000000,events/second
1556558435,23,0.057642,0.000000,0.000000,0.000000,events/second
1556558438,23,0.057212,0.000000,0.000000,0.000000,events/second
1556558441,23,0.056789,0.000000,0.000000,0.000000,events/second
1556558444,23,0.056370,0.000000,0.000000,0.000000,events/second
1556558447,23,0.055959,0.000000,0.000000,0.000000,events/second
1556558450,23,0.055554,0.000000,0.000000,0.000000,events/second
1556558453,27,0.064747,0.000000,0.000000,0.000000,events/second
1556558456,27,0.064284,0.000000,0.000000,0.000000,events/second
1556558459,27,0.063828,0.000000,0.000000,0.000000,events/second
1556558462,27,0.063379,0.000000,0.000000,0.000000,events/second
1556558465,27,0.062936,0.000000,0.000000,0.000000,events/second
