t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556559138,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559141,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559144,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559147,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559150,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559153,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559156,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559159,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559162,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559165,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559168,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559171,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559174,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559177,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559180,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559183,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559186,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559189,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559192,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559195,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559198,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559201,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559204,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559207,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559210,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559213,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559216,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559219,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559222,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559225,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559228,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559231,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559234,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559237,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559240,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559243,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559246,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559249,28,0.245638,0.000000,0.000000,0.000000,events/second
1556559252,32,0.273529,0.000000,0.000000,0.000000,events/second
1556559255,32,0.266692,0.000000,0.000000,0.000000,events/second
1556559258,32,0.260190,0.000000,0.000000,0.000000,events/second
1556559261,32,0.253988,0.000000,0.000000,0.000000,events/second
1556559264,32,0.248086,0.000000,0.000000,0.000000,events/second
1556559267,32,0.242446,0.000000,0.000000,0.000000,events/second
1556559270,45,0.333362,0.000000,0.000000,0.000000,events/second
1556559273,45,0.326118,0.000000,0.000000,0.000000,events/second
1556559276,45,0.319146,0.000000,0.000000,0.000000,events/second
1556559279,45,0.312506,0.000000,0.000000,0.000000,events/second
1556559282,45,0.306145,0.000000,0.000000,0.000000,events/second
1556559285,45,0.300003,0.000000,0.000000,0.000000,events/second
1556559288,49,0.320266,0.000000,0.000000,0.000000,events/second
1556559291,58,0.371824,0.000000,0.000000,0.000000,events/second
1556559294,58,0.364789,0.000000,0.000000,0.000000,events/second
1556559297,58,0.358026,0.000000,0.000000,0.000000,events/second
1556559300,58,0.351522,0.000000,0.000000,0.000000,events/second
1556559303,58,0.345265,0.000000,0.000000,0.000000,events/second
1556559306,58,0.339187,0.000000,0.000000,0.000000,events/second
1556559309,59,0.339095,0.000000,0.000000,0.000000,events/second
1556559312,71,0.401159,0.000000,0.000000,0.000000,events/second
1556559315,71,0.394473,0.000000,0.000000,0.000000,events/second
1556559318,71,0.387985,0.000000,0.000000,0.000000,events/second
1556559321,71,0.381746,0.000000,0.000000,0.000000,events/second
1556559324,71,0.375687,0.000000,0.000000,0.000000,events/second
1556559327,71,0.369797,0.000000,0.000000,0.000000,events/second
1556559330,75,0.384645,0.000000,0.000000,0.000000,events/second
1556559333,84,0.424273,0.000000,0.000000,0.000000,events/second
1556559336,84,0.417938,0.000000,0.000000,0.000000,events/second
1556559339,84,0.411795,0.000000,0.000000,0.000000,events/second
1556559342,84,0.405824,0.000000,0.000000,0.000000,events/second
1556559345,84,0.400024,0.000000,0.000000,0.000000,events/second
1556559348,84,0.394367,0.000000,0.000000,0.000000,events/second
1556559351,97,0.449098,0.000000,0.000000,0.000000,events/second
1556559354,97,0.442946,0.000000,0.000000,0.000000,events/second
1556559357,97,0.436952,0.000000,0.000000,0.000000,events/second
1556559360,97,0.431140,0.000000,0.000000,0.000000,events/second
1556559363,97,0.425447,0.000000,0.000000,0.000000,events/second
1556559366,97,0.419924,0.000000,0.000000,0.000000,events/second
1556559369,97,0.414554,0.000000,0.000000,0.000000,events/second
1556559372,110,0.464162,0.000000,0.000000,0.000000,events/second
1556559375,110,0.458359,0.000000,0.000000,0.000000,events/second
1556559378,110,0.452676,0.000000,0.000000,0.000000,events/second
1556559381,110,0.447176,0.000000,0.000000,0.000000,events/second
1556559384,110,0.441779,0.000000,0.000000,0.000000,events/second
1556559387,110,0.436529,0.000000,0.000000,0.000000,events/second
1556559390,110,0.431394,0.000000,0.000000,0.000000,events/second
1556559393,123,0.476766,0.000000,0.000000,0.000000,events/second
1556559396,123,0.471288,0.000000,0.000000,0.000000,events/second
1556559399,123,0.465932,0.000000,0.000000,0.000000,events/second
1556559402,123,0.460695,0.000000,0.000000,0.000000,events/second
1556559405,123,0.455580,0.000000,0.000000,0.000000,events/second
1556559408,123,0.450571,0.000000,0.000000,0.000000,events/second
1556559411,123,0.445668,0.000000,0.000000,0.000000,events/second
1556559414,136,0.487478,0.000000,0.000000,0.000000,events/second
1556559417,136,0.482293,0.000000,0.000000,0.000000,events/second
1556559420,136,0.477215,0.000000,0.000000,0.000000,events/second
1556559423,136,0.472242,0.000000,0.000000,0.000000,events/second
1556559426,136,0.467367,0.000000,0.000000,0.000000,events/second
1556559429,136,0.462604,0.000000,0.000000,0.000000,events/second
1556559432,136,0.457920,0.000000,0.000000,0.000000,events/second
1556559435,149,0.496691,0.000000,0.000000,0.000000,events/second
1556559438,149,0.491772,0.000000,0.000000,0.000000,events/second
1556559441,149,0.486931,0.000000,0.000000,0.000000,events/second
1556559444,149,0.482220,0.000000,0.000000,0.000000,events/second
1556559447,149,0.477571,0.000000,0.000000,0.000000,events/second
1556559450,149,0.473036,0.000000,0.000000,0.000000,events/second
1556559453,149,0.468575,0.000000,0.000000,0.000000,events/second
1556559456,162,0.504689,0.000000,0.000000,0.000000,events/second
1556559459,162,0.500021,0.000000,0.000000,0.000000,events/second
