t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558043,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558046,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558049,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558052,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558055,2,0.111204,0.000000,0.000000,0.000000,events/second
1556558058,2,0.095311,0.000000,0.000000,0.000000,events/second
1556558061,2,0.083389,0.000000,0.000000,0.000000,events/second
1556558064,2,0.074123,0.000000,0.000000,0.000000,events/second
1556558067,2,0.066703,0.000000,0.000000,0.000000,events/second
1556558070,2,0.060638,0.000000,0.000000,0.000000,events/second
1556558073,2,0.055582,0.000000,0.000000,0.000000,events/second
1556558076,2,0.051304,0.000000,0.000000,0.000000,events/second
1556558079,2,0.047638,0.000000,0.000000,0.000000,events/second
1556558082,2,0.044461,0.000000,0.000000,0.000000,events/second
1556558085,2,0.041682,0.000000,0.000000,0.000000,events/second
1556558088,2,0.039228,0.000000,0.000000,0.000000,events/second
1556558091,2,0.037048,0.000000,0.000000,0.000000,events/second
1556558094,2,0.035098,0.000000,0.000000,0.000000,events/second
1556558097,2,0.033343,0.000000,0.000000,0.000000,events/second
1556558100,2,0.031754,0.000000,0.000000,0.000000,events/second
1556558103,2,0.030311,0.000000,0.000000,0.000000,events/second
1556558106,2,0.028993,0.000000,0.000000,0.000000,events/second
1556558109,2,0.027784,0.000000,0.000000,0.000000,events/second
1556558112,2,0.026673,0.000000,0.000000,0.000000,events/second
1556558115,2,0.025647,0.000000,0.000000,0.000000,events/second
1556558118,2,0.024697,0.000000,0.000000,0.000000,events/second
1556558121,2,0.023814,0.000000,0.000000,0.000000,events/second
1556558124,2,0.022993,0.000000,0.000000,0.000000,events/second
1556558127,2,0.022227,0.000000,0.000000,0.000000,events/second
1556558130,2,0.021509,0.000000,0.000000,0.000000,events/second
1556558133,2,0.020837,0.000000,0.000000,0.000000,events/second
1556558136,2,0.020206,0.000000,0.000000,0.000000,events/second
1556558139,2,0.019611,0.000000,0.000000,0.000000,events/second
1556558142,2,0.019051,0.000000,0.000000,0.000000,events/second
1556558145,2,0.018521,0.000000,0.000000,0.000000,events/second
1556558148,2,0.018021,0.000000,0.000000,0.000000,events/second
1556558151,143,1.254561,0.000000,0.000000,0.000000,events/second
1556558154,143,1.222355,0.000000,0.000000,0.000000,events/second
1556558157,143,1.191783,0.000000,0.000000,0.000000,events/second
1556558160,143,1.162752,0.000000,0.000000,0.000000,events/second
1556558163,143,1.135076,0.000000,0.000000,0.000000,events/second
1556558166,143,1.108671,0.000000,0.000000,0.000000,events/second
1556558169,143,1.083443,0.000000,0.000000,0.000000,events/second
