t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1556558040,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009397,0.015991,0.003306,0.001108,calls/second,milliseconds
1556558043,3,1.000000,0.331513,0.000000,0.470757,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.027441,0.015991,0.003306,0.001108,calls/second,milliseconds
1556558046,4,1.000000,0.244239,0.000000,0.429635,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.035612,0.046695,0.009862,0.003318,calls/second,milliseconds
1556558049,5,1.000000,0.192120,0.000000,0.393967,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.043356,0.074943,0.016311,0.005516,calls/second,milliseconds
1556558052,7,1.000000,0.285801,0.000000,0.451795,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.059158,0.074943,0.016311,0.005516,calls/second,milliseconds
1556558055,8,1.000000,0.245724,0.000000,0.430516,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.065937,0.100934,0.022653,0.007701,calls/second,milliseconds
1556558058,9,1.000000,0.214292,0.000000,0.410330,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.072393,0.100934,0.022653,0.007701,calls/second,milliseconds
1556558061,10,1.000000,0.305797,0.000000,0.460744,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.078536,0.124846,0.028890,0.009875,calls/second,milliseconds
1556558064,12,1.000000,0.341864,0.000000,0.474334,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.092079,0.162837,0.038329,0.013144,calls/second,milliseconds
1556558067,13,1.000000,0.403784,0.000000,0.490655,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.097507,0.162837,0.038329,0.013144,calls/second,milliseconds
1556558070,14,1.000000,0.368097,0.000000,0.482288,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.102699,0.181799,0.044307,0.015287,calls/second,milliseconds
1556558073,16,1.000000,0.387759,0.000000,0.487239,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.114842,0.181799,0.044307,0.015287,calls/second,milliseconds
1556558076,17,1.000000,0.358157,0.000000,0.479459,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.119447,0.199246,0.050186,0.017419,calls/second,milliseconds
1556558079,18,1.000000,0.331671,0.000000,0.470814,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.123862,0.215297,0.055968,0.019538,calls/second,milliseconds
1556558082,19,1.000000,0.308187,0.000000,0.461744,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.128099,0.215297,0.055968,0.019538,calls/second,milliseconds
1556558085,21,1.000000,0.334563,0.000000,0.471837,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.138778,0.230065,0.061655,0.021646,calls/second,milliseconds
1556558088,22,1.000000,0.313135,0.000000,0.463769,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.142558,0.230065,0.061655,0.021646,calls/second,milliseconds
1556558091,23,1.000000,0.355660,0.000000,0.478713,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.146198,0.243652,0.067247,0.023742,calls/second,milliseconds
1556558094,25,1.000000,0.430541,0.000000,0.495152,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.155936,0.256153,0.072747,0.025827,calls/second,milliseconds
1556558097,26,1.000000,0.463166,0.000000,0.498641,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.159196,0.256153,0.072747,0.025827,calls/second,milliseconds
1556558100,27,1.000000,0.436979,0.000000,0.496012,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.162330,0.283646,0.081462,0.029008,calls/second,milliseconds
1556558103,28,1.000000,0.412921,0.000000,0.492359,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.165363,0.283646,0.081462,0.029008,calls/second,milliseconds
1556558106,30,1.000000,0.369976,0.000000,0.482798,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.174094,0.292949,0.086727,0.031063,calls/second,milliseconds
1556558109,31,1.000000,0.402702,0.000000,0.490442,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.176817,0.301508,0.091905,0.033107,calls/second,milliseconds
1556558112,32,1.000000,0.433049,0.000000,0.495497,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.179452,0.301508,0.091905,0.033107,calls/second,milliseconds
1556558115,34,1.000000,0.438839,0.000000,0.496245,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.187516,0.309383,0.096997,0.035140,calls/second,milliseconds
1556558118,35,1.000000,0.466037,0.000000,0.498845,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.189881,0.309383,0.096997,0.035140,calls/second,milliseconds
1556558121,36,1.000000,0.491801,0.000000,0.499933,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.192182,0.316629,0.102005,0.037161,calls/second,milliseconds
1556558124,37,1.000000,0.515873,0.000000,0.499748,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.194407,0.323295,0.106931,0.039171,calls/second,milliseconds
1556558127,39,1.000000,0.513410,0.000000,0.499820,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.201738,0.323295,0.106931,0.039171,calls/second,milliseconds
1556558130,40,1.000000,0.535623,0.000000,0.498729,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.203749,0.329428,0.111775,0.041170,calls/second,milliseconds
1556558133,41,1.000000,0.556485,0.000000,0.496799,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.205701,0.329428,0.111775,0.041170,calls/second,milliseconds
1556558136,43,1.000000,0.552218,0.000000,0.497266,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.212536,0.351061,0.119844,0.044266,calls/second,milliseconds
1556558139,44,1.000000,0.528159,0.000000,0.499206,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.214297,0.354974,0.124475,0.046237,calls/second,milliseconds
1556558142,45,1.000000,0.548725,0.000000,0.497620,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.216015,0.354974,0.124475,0.046237,calls/second,milliseconds
1556558145,46,1.000000,0.568123,0.000000,0.495337,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.217678,0.358574,0.129029,0.048197,calls/second,milliseconds
1556558148,48,1.000000,0.520915,0.000000,0.499562,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.223967,0.358574,0.129029,0.048197,calls/second,milliseconds
1556558151,49,1.000000,0.499068,0.000000,0.499999,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.225474,0.361887,0.133508,0.050146,calls/second,milliseconds
1556558154,50,1.000000,0.478094,0.000000,0.499520,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.226940,0.364934,0.137912,0.052084,calls/second,milliseconds
1556558157,52,1.000000,0.480470,0.000000,0.499618,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.232845,0.364934,0.137912,0.052084,calls/second,milliseconds
1556558160,53,1.000000,0.460703,0.000000,0.498453,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.234182,0.367738,0.142244,0.054012,calls/second,milliseconds
1556558163,54,1.000000,0.441966,0.000000,0.496621,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.235478,0.367738,0.142244,0.054012,calls/second,milliseconds
1556558166,55,1.000000,0.424189,0.000000,0.494219,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.236743,0.370317,0.146505,0.055928,calls/second,milliseconds
1556558169,57,2.000000,0.468328,0.000000,0.571422,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.242221,0.388682,0.154000,0.058943,calls/second,milliseconds
1556558172,58,2.000000,0.449814,0.000000,0.567400,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.243360,0.388682,0.154000,0.058943,calls/second,milliseconds
1556558175,59,2.000000,0.431952,0.000000,0.562915,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.244483,0.389587,0.158066,0.060832,calls/second,milliseconds
1556558178,61,2.000000,0.398816,0.000000,0.552974,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.249661,0.389587,0.158066,0.060832,calls/second,milliseconds
1556558181,62,2.000000,0.383211,0.000000,0.547536,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.250685,0.390419,0.162065,0.062711,calls/second,milliseconds
1556558184,63,2.000000,0.368358,0.000000,0.541892,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.251679,0.391185,0.165998,0.064580,calls/second,milliseconds
