t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558043,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558046,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558049,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558052,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558055,2,0.111195,0.000000,0.000000,0.000000,events/second
1556558058,2,0.095306,0.000000,0.000000,0.000000,events/second
1556558061,2,0.083382,0.000000,0.000000,0.000000,events/second
1556558064,2,0.074120,0.000000,0.000000,0.000000,events/second
1556558067,2,0.066700,0.000000,0.000000,0.000000,events/second
1556558070,2,0.060637,0.000000,0.000000,0.000000,events/second
1556558073,2,0.055580,0.000000,0.000000,0.000000,events/second
1556558076,2,0.051302,0.000000,0.000000,0.000000,events/second
1556558079,2,0.047637,0.000000,0.000000,0.000000,events/second
1556558082,2,0.044460,0.000000,0.000000,0.000000,events/second
1556558085,2,0.041681,0.000000,0.000000,0.000000,events/second
1556558088,2,0.039227,0.000000,0.000000,0.000000,events/second
1556558091,2,0.037047,0.000000,0.000000,0.000000,events/second
1556558094,2,0.035097,0.000000,0.000000,0.000000,events/second
1556558097,2,0.033342,0.000000,0.000000,0.000000,events/second
1556558100,2,0.031752,0.000000,0.000000,0.000000,events/second
1556558103,2,0.030310,0.000000,0.000000,0.000000,events/second
1556558106,2,0.028992,0.000000,0.000000,0.000000,events/second
1556558109,2,0.027784,0.000000,0.000000,0.000000,events/second
1556558112,2,0.026673,0.000000,0.000000,0.000000,events/second
1556558115,2,0.025647,0.000000,0.000000,0.000000,events/second
1556558118,2,0.024696,0.000000,0.000000,0.000000,events/second
1556558121,2,0.023814,0.000000,0.000000,0.000000,events/second
1556558124,2,0.022993,0.000000,0.000000,0.000000,events/second
1556558127,2,0.022226,0.000000,0.000000,0.000000,events/second
1556558130,2,0.021509,0.000000,0.000000,0.000000,events/second
1556558133,2,0.020837,0.000000,0.000000,0.000000,events/second
1556558136,2,0.020206,0.000000,0.000000,0.000000,events/second
1556558139,2,0.019611,0.000000,0.000000,0.000000,events/second
1556558142,2,0.019051,0.000000,0.000000,0.000000,events/second
1556558145,2,0.018521,0.000000,0.000000,0.000000,events/second
1556558148,2,0.018021,0.000000,0.000000,0.000000,events/second
1556558151,7,0.061412,0.000000,0.000000,0.000000,events/second
1556558154,7,0.059835,0.000000,0.000000,0.000000,events/second
1556558157,7,0.058339,0.000000,0.000000,0.000000,events/second
1556558160,7,0.056918,0.000000,0.000000,0.000000,events/second
1556558163,7,0.055563,0.000000,0.000000,0.000000,events/second
1556558166,7,0.054270,0.000000,0.000000,0.000000,events/second
1556558169,7,0.053035,0.000000,0.000000,0.000000,events/second
